Patient,Position,Method,Decoding TW,Accuracy
S14,p3,MFA,0.4S,0.3108108108108108
S14,p3,MFA,0.4S,0.30405405405405406
S14,p3,MFA,0.4S,0.30405405405405406
S14,p3,MFA,0.4S,0.3581081081081081
S14,p3,MFA,0.4S,0.32432432432432434
S14,p3,MFA,0.4S,0.2972972972972973
S14,p3,MFA,0.4S,0.3108108108108108
S14,p3,MFA,0.4S,0.31756756756756754
S14,p3,MFA,0.2S,0.24324324324324326
S14,p3,MFA,0.2S,0.22972972972972974
S14,p3,MFA,0.2S,0.22297297297297297
S14,p3,MFA,0.2S,0.23648648648648649
S14,p3,MFA,0.2S,0.20270270270270271
S14,p3,MFA,0.2S,0.20945945945945946
S14,p3,MFA,0.2S,0.22297297297297297
S14,p3,MFA,0.2S,0.20270270270270271
S14,p3,MFA,0.2S,0.22972972972972974
S14,p3,MFA,0.2S,0.22297297297297297
S22,p1,Kumar,1S,0.15894039735099338
S22,p1,Kumar,1S,0.17880794701986755
S22,p1,Kumar,1S,0.152317880794702
S22,p1,Kumar,1S,0.13245033112582782
S22,p1,Kumar,1S,0.18543046357615894
S22,p1,Kumar,1S,0.13245033112582782
S22,p1,Kumar,1S,0.17218543046357615
S22,p1,Kumar,1S,0.17218543046357615
S22,p1,Kumar,1S,0.17218543046357615
S22,p1,Kumar,1S,0.15894039735099338
S22,p1,Kumar,0.8S,0.11258278145695365
S22,p1,Kumar,0.8S,0.1390728476821192
S22,p1,Kumar,0.8S,0.11920529801324503
S22,p1,Kumar,0.8S,0.13245033112582782
S22,p1,Kumar,0.8S,0.10596026490066225
S22,p1,Kumar,0.8S,0.12582781456953643
S22,p1,Kumar,0.8S,0.12582781456953643
S22,p1,Kumar,0.8S,0.09271523178807947
S22,p1,Kumar,0.8S,0.13245033112582782
S22,p1,Kumar,0.8S,0.12582781456953643
S22,p1,Kumar,0.6S,0.152317880794702
S22,p1,Kumar,0.6S,0.15894039735099338
S22,p1,Kumar,0.6S,0.15894039735099338
S22,p1,Kumar,0.6S,0.19205298013245034
S22,p1,Kumar,0.6S,0.18543046357615894
S22,p1,Kumar,0.6S,0.16556291390728478
S22,p1,Kumar,0.6S,0.1456953642384106
S22,p1,Kumar,0.6S,0.18543046357615894
S22,p1,Kumar,0.6S,0.1456953642384106
S22,p1,Kumar,0.6S,0.19205298013245034
